ticker,ror_12_months,ror_18_months,ror_24_months
AAAU,-0.04484299327354258,-0.012173855072463758,-0.1356501121076233
ACN,-0.13363061200112467,0.12258365596716063,0.16803253312455618
ARB,0.04655403519652693,0.07245291251054271,0.09135793472362198
AXP,-0.007233834062007273,0.12479649624617975,0.3407184027828731
BAR,-0.045480013783268665,-0.012775784714041004,-0.13587872744967597
BIL,0.0038565342735350124,0.0034177194791394482,0.0032332476929325276
BNDX,-0.12126709210858323,-0.11242368706715274,-0.12009822036828592
BTAL,0.11343792242944029,0.1406434957900182,-0.2105875968244564
CCI,-0.05073135206639786,0.09908852410806411,0.10835966962362624
CHTR,-0.48817884875578205,-0.3654186058468748,-0.27316628051475406
CNBS,-0.6231514725572935,-0.7648743238943684,-0.23217469494264684
CNC,0.4624800488877568,0.4608543201388864,0.5375198239262378
COF,-0.30568733985603497,-0.132619103780771,0.23979592745883885
EIX,0.22161846099971458,0.23898803184145537,0.38836556708980274
EOPS,-0.3101542488357401,NULL,NULL
ETN,-0.05980576469443644,0.09829739339767787,0.3044358789046401
FLSP,0.0009365488176070977,-0.0038712243864999357,0.04064856005619294
FLT,-0.1521095399365587,-0.22397828116411392,-0.04561362849068777
FTLS,0.007355049718747234,0.07710255344601186,0.14825493273584414
GE,-0.28855341849116894,-0.2930203530786552,0.24617905914861488
GIGB,-0.15883411413166554,-0.11281589837114202,-0.1422073865194837
GLD,-0.13652811900217454,-0.03653241992607854,-0.04278998417613015
GM,-0.185669579671205,-0.27548542256175546,0.19292149856910368
GOVT,-0.11716590911468076,-0.09329069601809169,-0.14124779654910027
GPN,-0.190325535152495,-0.3791840334695949,-0.23654262240259202
HDG,-0.03454657547714218,-0.08746355515134004,-0.10055519020038686
IAU,-0.045694113816465036,-0.013325196850393784,-0.1382541633935021
IAUM,-0.04432673790503148,NULL,NULL
IGSB,-0.06407512441318938,-0.05388481344674856,-0.04955210731055721
K,0.17640506210083476,0.2582413061739453,0.17889325846090096
KMLM,0.37577300618269005,0.3774773183158127,NULL
KO,0.1453953498749963,0.26330022832651556,0.2561672288973542
KRBN,-0.029449831414086036,0.34583400732589953,0.41560646602727425
LBAY,0.04179681415565535,0.20499796968130207,0.1856844283650342
LQD,-0.17950043945709368,-0.1281617751456918,-0.1580449507191506
MARB,0.017128513853904147,0.028265902724726108,0.025188916876574305
MJ,-0.32137715506403963,-0.49316300364644444,-1.0829282936604754
MSVX,-0.038652130822596685,-0.022377831899299386,-0.07757066402378594
MUB,-0.0820866004009384,-0.06826279076709778,-0.05537680080712947
NVO,0.10527740380448242,0.5463731273432655,0.4370580360669547
PANW,0.18619261096144477,0.6610882941176472,0.6651474866120672
PFG,0.23133833562756406,0.3852185522394414,0.6490245721276278
PFIX,0.5666072325234552,NULL,NULL
RINF,0.013147818774646266,0.11241012065527194,0.12630766886890277
RLY,0.12506234181871753,0.19972320700608287,0.3641122734665735
ROST,-0.16538376815609346,-0.2282247806874195,0.013388677495226705
SBAC,-0.05437421624295655,0.23995172731350475,0.035667986851064065
SCHP,-0.07573637594716154,-0.019673862082949536,-0.015410663356171327
SGOL,-0.044160258231275874,-0.011418149724648375,-0.13596746867910917
SHV,-0.00011264415349169245,-0.00047455191283565204,-0.0005467923586315328
SHY,-0.019968218697238856,-0.034576487016818425,-0.042788881434640526
SLV,-0.21236925875397902,-0.2813278008298756,-0.3597089586175535
SVIX,NULL,NULL,NULL
TIP,-0.07690802802467397,-0.02124434556065812,-0.01971874043491628
TJX,-0.013251796712579467,0.023438240152091894,0.16817786362180645
TLT,-0.26099295515644994,-0.18401506348451066,-0.3439998641389664
TOKE,-0.47808586948806486,-0.6367911121141763,-0.24656503498398977
UNG,0.5408839226519335,1.9204187434554971,0.8464087845303866
UPAR,NULL,NULL,NULL
UVIX,NULL,NULL,NULL
V,-0.08002365486970338,-0.07771879547681833,0.01098041548768544
VCIT,-0.1443177249533686,-0.11186856838489502,-0.12868689413208947
VCSH,-0.06370088176737057,-0.05310205661793743,-0.05044396892226783
VGSH,-0.041789247161909814,-0.04055773978338153,-0.04068903608804899
VMBS,-0.10836644682613739,-0.10413702915394682,-0.11028124276332442
VTEB,-0.08913531578721703,-0.07465269955132739,-0.059340685981303265
WTMF,-0.03271033444996331,-0.003116147397057984,-0.026380950346867747
